workerid,proliferate.condition,balloon_cause_sad,balloon_sad,drum_anger,drum_cause_anger,error
961,experimental,distal,distal,proximal,proximal,
927,experimental,distal,distal,distal,distal,
1000,experimental,distal,distal,distal,distal,
1022,experimental,distal,distal,distal,distal,
976,experimental,distal,distal,distal,distal,
873,experimental,distal,distal,distal,distal,
911,experimental,distal,distal,distal,distal,
902,experimental,distal,distal,distal,distal,
1041,experimental,distal,distal,distal,distal,
1043,experimental,distal,distal,distal,distal,
917,experimental,distal,proximal,distal,distal,
1020,experimental,distal,distal,distal,distal,
896,experimental,distal,distal,distal,distal,
863,experimental,distal,distal,distal,distal,
904,experimental,proximal,proximal,proximal,proximal,
998,experimental,distal,distal,distal,distal,
1068,experimental,distal,distal,distal,distal,
854,experimental,distal,distal,distal,distal,
921,experimental,distal,distal,distal,distal,
992,experimental,distal,distal,distal,distal,
923,experimental,distal,distal,distal,distal,
947,experimental,distal,distal,distal,distal,
978,experimental,proximal,distal,distal,distal,
943,experimental,distal,distal,distal,distal,
1055,experimental,distal,distal,distal,distal,
994,experimental,distal,distal,distal,distal,
906,experimental,distal,distal,distal,distal,
1002,experimental,distal,distal,distal,distal,
1280,experimental,distal,distal,distal,distal,
1036,experimental,distal,distal,distal,distal,
996,experimental,distal,distal,distal,distal,
965,experimental,distal,proximal,distal,distal,
852,experimental,distal,distal,distal,distal,
1012,experimental,distal,distal,distal,distal,
1008,experimental,distal,distal,distal,distal,
883,experimental,proximal,proximal,distal,distal,
856,experimental,distal,distal,distal,distal,
951,experimental,distal,proximal,distal,distal,
898,experimental,distal,proximal,proximal,distal,
877,experimental,distal,distal,distal,distal,
1024,experimental,distal,proximal,distal,distal,
959,experimental,distal,distal,distal,distal,
1004,experimental,distal,proximal,proximal,proximal,
913,experimental,distal,distal,distal,distal,
937,experimental,distal,distal,distal,distal,
1310,experimental,proximal,proximal,distal,distal,
1079,experimental,distal,distal,distal,distal,
967,experimental,distal,distal,distal,distal,
957,experimental,distal,proximal,distal,distal,
945,experimental,proximal,proximal,proximal,proximal,
934,experimental,proximal,proximal,proximal,proximal,
1074,experimental,distal,distal,distal,distal,
894,experimental,distal,distal,distal,distal,
1050,experimental,distal,distal,distal,distal,
1033,experimental,distal,distal,distal,distal,
1059,experimental,distal,distal,distal,distal,
1066,experimental,distal,distal,distal,distal,
953,experimental,distal,distal,distal,distal,
1061,experimental,distal,distal,distal,distal,
1064,experimental,proximal,distal,distal,distal,
908,experimental,distal,distal,proximal,proximal,
869,experimental,distal,distal,distal,distal,
861,experimental,distal,proximal,proximal,proximal,
881,experimental,distal,distal,distal,distal,
1226,experimental,distal,distal,distal,distal,
1081,experimental,distal,distal,distal,distal,
955,experimental,distal,distal,distal,distal,
935,experimental,proximal,distal,distal,proximal,
849,experimental,distal,distal,proximal,distal,
1015,experimental,distal,distal,distal,distal,
879,experimental,distal,proximal,proximal,distal,
859,experimental,distal,distal,distal,distal,
885,experimental,distal,distal,distal,distal,
929,experimental,proximal,proximal,proximal,proximal,
1010,experimental,distal,distal,distal,distal,
1031,experimental,distal,distal,distal,distal,
1053,experimental,proximal,proximal,distal,distal,
1006,experimental,distal,distal,proximal,proximal,
941,experimental,distal,distal,distal,distal,
900,experimental,distal,distal,distal,distal,
1018,experimental,distal,proximal,distal,distal,
925,experimental,distal,distal,distal,distal,
949,experimental,distal,proximal,distal,proximal,
987,experimental,distal,distal,distal,distal,
980,experimental,distal,distal,distal,distal,
939,experimental,distal,distal,distal,distal,
1029,experimental,distal,distal,distal,proximal,
892,experimental,distal,distal,distal,distal,
982,experimental,distal,distal,distal,distal,
990,experimental,distal,distal,distal,distal,
1048,experimental,distal,distal,proximal,distal,
1039,experimental,distal,distal,distal,distal,
889,experimental,distal,distal,distal,distal,
875,experimental,distal,distal,distal,distal,
887,experimental,distal,proximal,proximal,distal,
963,experimental,distal,distal,distal,distal,
984,experimental,distal,distal,distal,distal,
865,experimental,distal,distal,distal,distal,
1026,experimental,proximal,proximal,proximal,proximal,
871,experimental,proximal,distal,proximal,distal,
973,experimental,distal,distal,distal,distal,
