workerid,proliferate.condition,balloon_cause_pop,balloon_pop,drum_break,drum_cause_break,error
1080,control,distal,proximal,proximal,distal,
1311,control,distal,distal,distal,distal,
893,control,distal,proximal,proximal,distal,
960,control,distal,proximal,proximal,distal,
1038,control,distal,proximal,proximal,distal,
1019,control,distal,distal,proximal,distal,
1078,control,distal,proximal,proximal,distal,
964,control,distal,proximal,proximal,distal,
862,control,distal,proximal,proximal,distal,
1062,control,distal,proximal,proximal,distal,
1065,control,distal,distal,distal,distal,
977,control,distal,proximal,proximal,distal,
1084,control,distal,proximal,proximal,distal,
958,control,distal,distal,distal,distal,
872,control,distal,proximal,distal,distal,
1027,control,distal,distal,distal,distal,
1025,control,distal,proximal,proximal,distal,
928,control,distal,proximal,proximal,distal,
1042,control,distal,proximal,proximal,distal,
858,control,distal,proximal,distal,distal,
1001,control,distal,distal,distal,distal,
868,control,distal,proximal,proximal,distal,
886,control,distal,proximal,proximal,distal,
914,control,distal,proximal,proximal,distal,
851,control,distal,proximal,proximal,distal,
926,control,distal,proximal,proximal,distal,
991,control,distal,distal,distal,distal,
899,control,distal,proximal,distal,distal,
897,control,distal,proximal,proximal,distal,
950,control,distal,proximal,distal,distal,
910,control,distal,proximal,distal,distal,
924,control,distal,proximal,proximal,distal,
983,control,distal,proximal,distal,distal,
903,control,distal,proximal,proximal,distal,
946,control,distal,distal,distal,distal,
1152,control,distal,proximal,distal,proximal,
979,control,distal,proximal,proximal,distal,
1067,control,distal,proximal,distal,distal,
999,control,distal,proximal,proximal,distal,
989,control,distal,proximal,proximal,distal,
954,control,distal,proximal,distal,proximal,
1077,control,distal,proximal,distal,distal,
933,control,distal,distal,proximal,distal,
891,control,proximal,distal,distal,proximal,
1007,control,distal,distal,distal,distal,
895,control,distal,proximal,proximal,distal,
970,control,distal,proximal,proximal,distal,
940,control,proximal,proximal,proximal,proximal,
1005,control,proximal,proximal,proximal,distal,
966,control,distal,proximal,proximal,distal,
860,control,distal,proximal,proximal,distal,
956,control,distal,distal,distal,distal,
972,control,distal,proximal,proximal,distal,
1021,control,distal,proximal,distal,distal,
1030,control,distal,proximal,proximal,distal,
916,control,distal,proximal,distal,distal,
1282,control,distal,proximal,proximal,distal,
985,control,distal,proximal,proximal,distal,
882,control,distal,distal,distal,distal,
930,control,distal,proximal,proximal,distal,
993,control,distal,proximal,proximal,distal,
1051,control,distal,proximal,distal,distal,
884,control,distal,proximal,proximal,distal,
948,control,distal,proximal,proximal,distal,
997,control,distal,proximal,proximal,distal,
942,control,distal,proximal,distal,distal,
874,control,distal,proximal,proximal,distal,
1040,control,distal,proximal,proximal,distal,
907,control,distal,proximal,proximal,distal,
912,control,distal,proximal,proximal,distal,
936,control,distal,proximal,proximal,distal,
1054,control,distal,proximal,distal,distal,
901,control,distal,proximal,distal,distal,
1016,control,distal,proximal,proximal,distal,
880,control,distal,distal,distal,distal,
1003,control,distal,proximal,proximal,distal,
975,control,distal,distal,distal,distal,
968,control,proximal,proximal,proximal,distal,
944,control,distal,proximal,proximal,distal,
995,control,distal,proximal,proximal,distal,
878,control,distal,proximal,proximal,distal,
1073,control,distal,proximal,distal,distal,
1032,control,distal,proximal,proximal,distal,
962,control,distal,proximal,distal,distal,
1034,control,distal,proximal,proximal,distal,
932,control,distal,proximal,proximal,distal,
855,control,distal,proximal,proximal,distal,
1058,control,distal,distal,distal,distal,
952,control,distal,proximal,distal,distal,
1009,control,distal,distal,distal,distal,
1014,control,distal,distal,distal,distal,
866,control,distal,proximal,distal,distal,
864,control,distal,proximal,distal,distal,
981,control,distal,proximal,proximal,distal,
1046,control,distal,distal,distal,distal,
870,control,distal,proximal,proximal,distal,
938,control,distal,distal,distal,distal,
1011,control,distal,distal,distal,distal,
876,control,distal,proximal,proximal,distal,
905,control,distal,proximal,distal,distal,
888,control,proximal,distal,distal,distal,
961,experimental,,,,,
927,experimental,,,,,
1000,experimental,,,,,
1022,experimental,,,,,
976,experimental,,,,,
873,experimental,,,,,
911,experimental,,,,,
902,experimental,,,,,
1041,experimental,,,,,
1043,experimental,,,,,
917,experimental,,,,,
1020,experimental,,,,,
896,experimental,,,,,
863,experimental,,,,,
1312,experimental,,,,,
904,experimental,,,,,
998,experimental,,,,,
1068,experimental,,,,,
854,experimental,,,,,
921,experimental,,,,,
992,experimental,,,,,
923,experimental,,,,,
947,experimental,,,,,
978,experimental,,,,,
943,experimental,,,,,
1055,experimental,,,,,
994,experimental,,,,,
906,experimental,,,,,
1002,experimental,,,,,
1280,experimental,,,,,
1036,experimental,,,,,
996,experimental,,,,,
965,experimental,,,,,
852,experimental,,,,,
1012,experimental,,,,,
1008,experimental,,,,,
883,experimental,,,,,
856,experimental,,,,,
951,experimental,,,,,
898,experimental,,,,,
877,experimental,,,,,
1024,experimental,,,,,
959,experimental,,,,,
1004,experimental,,,,,
913,experimental,,,,,
937,experimental,,,,,
1310,experimental,,,,,
1079,experimental,,,,,
967,experimental,,,,,
957,experimental,,,,,
945,experimental,,,,,
934,experimental,,,,,
1074,experimental,,,,,
894,experimental,,,,,
1050,experimental,,,,,
1033,experimental,,,,,
1059,experimental,,,,,
1066,experimental,,,,,
953,experimental,,,,,
1061,experimental,,,,,
1064,experimental,,,,,
908,experimental,,,,,
869,experimental,,,,,
861,experimental,,,,,
881,experimental,,,,,
1226,experimental,,,,,
1081,experimental,,,,,
955,experimental,,,,,
935,experimental,,,,,
849,experimental,,,,,
1015,experimental,,,,,
879,experimental,,,,,
859,experimental,,,,,
885,experimental,,,,,
929,experimental,,,,,
1010,experimental,,,,,
1031,experimental,,,,,
1053,experimental,,,,,
1006,experimental,,,,,
941,experimental,,,,,
900,experimental,,,,,
1018,experimental,,,,,
925,experimental,,,,,
949,experimental,,,,,
987,experimental,,,,,
980,experimental,,,,,
939,experimental,,,,,
1029,experimental,,,,,
892,experimental,,,,,
982,experimental,,,,,
990,experimental,,,,,
1048,experimental,,,,,
1039,experimental,,,,,
889,experimental,,,,,
875,experimental,,,,,
887,experimental,,,,,
963,experimental,,,,,
984,experimental,,,,,
865,experimental,,,,,
1026,experimental,,,,,
871,experimental,,,,,
973,experimental,,,,,
