experiment,child_id,condition,scenario,verb,question,response,distal,proximal,age_days,age_years,age_group,gender
exp1,JF2ERc,experimental,balloon,sad,lexical,distal,1,0,2790,7.64,7,f
exp1,JF2ERc,experimental,balloon,sad,cause,proximal,0,1,2790,7.64,7,f
exp1,JF2ERc,experimental,drum,angry,lexical,distal,1,0,2790,7.64,7,f
exp1,JF2ERc,experimental,drum,angry,cause,proximal,0,1,2790,7.64,7,f
exp1,ZSLG2X,control,drum,break,lexical,proximal,0,1,3150,8.62,8,f
exp1,ZSLG2X,control,drum,break,cause,distal,1,0,3150,8.62,8,f
exp1,ZSLG2X,control,balloon,pop,lexical,proximal,0,1,3150,8.62,8,f
exp1,ZSLG2X,control,balloon,pop,cause,distal,1,0,3150,8.62,8,f
exp1,AdAd65,control,drum,break,lexical,proximal,0,1,2670,7.31,7,f
exp1,AdAd65,control,drum,break,cause,distal,1,0,2670,7.31,7,f
exp1,AdAd65,control,balloon,pop,lexical,proximal,0,1,2670,7.31,7,f
exp1,AdAd65,control,balloon,pop,cause,distal,1,0,2670,7.31,7,f
exp1,LDCVAZ,experimental,balloon,sad,lexical,distal,1,0,2850,7.8,7,f
exp1,LDCVAZ,experimental,balloon,sad,cause,distal,1,0,2850,7.8,7,f
exp1,LDCVAZ,experimental,drum,angry,lexical,proximal,0,1,2850,7.8,7,f
exp1,LDCVAZ,experimental,drum,angry,cause,distal,1,0,2850,7.8,7,f
exp1,E24EQD,control,balloon,pop,cause,proximal,0,1,2580,7.06,7,f
exp1,E24EQD,control,balloon,pop,lexical,proximal,0,1,2580,7.06,7,f
exp1,E24EQD,control,drum,break,cause,distal,1,0,2580,7.06,7,f
exp1,E24EQD,control,drum,break,lexical,proximal,0,1,2580,7.06,7,f
exp1,PWDSMD,experimental,drum,angry,lexical,proximal,0,1,3030,8.3,8,m
exp1,PWDSMD,experimental,drum,angry,cause,proximal,0,1,3030,8.3,8,m
