workerid,participant_id,condition,scenario,question,verb,response,distal,proximal,question_order_label,age,gender,race,ethnicity
1080,P1780165889082_7354,control,balloon,cause,pop,distal,1,0,simple_first,58,Male,White,Non-Hispanic
1080,P1780165889082_7354,control,balloon,lexical,pop,proximal,0,1,simple_first,58,Male,White,Non-Hispanic
1080,P1780165889082_7354,control,drum,cause,break,distal,1,0,simple_first,58,Male,White,Non-Hispanic
1080,P1780165889082_7354,control,drum,lexical,break,proximal,0,1,simple_first,58,Male,White,Non-Hispanic
1311,P1780278083054_2068,control,balloon,cause,pop,distal,1,0,simple_first,59,Male,White,Non-Hispanic
1311,P1780278083054_2068,control,balloon,lexical,pop,distal,1,0,simple_first,59,Male,White,Non-Hispanic
1311,P1780278083054_2068,control,drum,cause,break,distal,1,0,simple_first,59,Male,White,Non-Hispanic
1311,P1780278083054_2068,control,drum,lexical,break,distal,1,0,simple_first,59,Male,White,Non-Hispanic
893,P1780164554042_4489,control,balloon,cause,pop,distal,1,0,caused_first,42,Female,White,Non-Hispanic
893,P1780164554042_4489,control,balloon,lexical,pop,proximal,0,1,caused_first,42,Female,White,Non-Hispanic
893,P1780164554042_4489,control,drum,cause,break,distal,1,0,caused_first,42,Female,White,Non-Hispanic
893,P1780164554042_4489,control,drum,lexical,break,proximal,0,1,caused_first,42,Female,White,Non-Hispanic
960,P1780164688012_6172,control,balloon,cause,pop,distal,1,0,simple_first,34,Male,White,Hispanic
960,P1780164688012_6172,control,balloon,lexical,pop,proximal,0,1,simple_first,34,Male,White,Hispanic
960,P1780164688012_6172,control,drum,cause,break,distal,1,0,simple_first,34,Male,White,Hispanic
960,P1780164688012_6172,control,drum,lexical,break,proximal,0,1,simple_first,34,Male,White,Hispanic
1038,P1780165058120_7859,control,balloon,cause,pop,distal,1,0,caused_first,36,Female,White,Non-Hispanic
1038,P1780165058120_7859,control,balloon,lexical,pop,proximal,0,1,caused_first,36,Female,White,Non-Hispanic
1038,P1780165058120_7859,control,drum,cause,break,distal,1,0,caused_first,36,Female,White,Non-Hispanic
1038,P1780165058120_7859,control,drum,lexical,break,proximal,0,1,caused_first,36,Female,White,Non-Hispanic
1019,P1780164898001_8965,control,balloon,cause,pop,distal,1,0,simple_first,36,Female,White,Hispanic
1019,P1780164898001_8965,control,balloon,lexical,pop,distal,1,0,simple_first,36,Female,White,Hispanic
1019,P1780164898001_8965,control,drum,cause,break,distal,1,0,simple_first,36,Female,White,Hispanic
1019,P1780164898001_8965,control,drum,lexical,break,proximal,0,1,simple_first,36,Female,White,Hispanic
1078,P1780165776187_3139,control,balloon,cause,pop,distal,1,0,simple_first,34,Female,White,Non-Hispanic
1078,P1780165776187_3139,control,balloon,lexical,pop,proximal,0,1,simple_first,34,Female,White,Non-Hispanic
1078,P1780165776187_3139,control,drum,cause,break,distal,1,0,simple_first,34,Female,White,Non-Hispanic
1078,P1780165776187_3139,control,drum,lexical,break,proximal,0,1,simple_first,34,Female,White,Non-Hispanic
964,P1780164691210_3906,control,balloon,cause,pop,distal,1,0,simple_first,45,Female,White,Non-Hispanic
964,P1780164691210_3906,control,balloon,lexical,pop,proximal,0,1,simple_first,45,Female,White,Non-Hispanic
964,P1780164691210_3906,control,drum,cause,break,distal,1,0,simple_first,45,Female,White,Non-Hispanic
964,P1780164691210_3906,control,drum,lexical,break,proximal,0,1,simple_first,45,Female,White,Non-Hispanic
862,P1780164519973_9448,control,balloon,cause,pop,distal,1,0,caused_first,20,Male,White,Non-Hispanic
862,P1780164519973_9448,control,balloon,lexical,pop,proximal,0,1,caused_first,20,Male,White,Non-Hispanic
862,P1780164519973_9448,control,drum,cause,break,distal,1,0,caused_first,20,Male,White,Non-Hispanic
862,P1780164519973_9448,control,drum,lexical,break,proximal,0,1,caused_first,20,Male,White,Non-Hispanic
1062,P1780165373865_7125,control,balloon,cause,pop,distal,1,0,caused_first,23,Male,White,Hispanic
1062,P1780165373865_7125,control,balloon,lexical,pop,proximal,0,1,caused_first,23,Male,White,Hispanic
1062,P1780165373865_7125,control,drum,cause,break,distal,1,0,caused_first,23,Male,White,Hispanic
1062,P1780165373865_7125,control,drum,lexical,break,proximal,0,1,caused_first,23,Male,White,Hispanic
1065,P1780165412925_3783,control,balloon,cause,pop,distal,1,0,simple_first,29,Male,White,Non-Hispanic
1065,P1780165412925_3783,control,balloon,lexical,pop,distal,1,0,simple_first,29,Male,White,Non-Hispanic
1065,P1780165412925_3783,control,drum,cause,break,distal,1,0,simple_first,29,Male,White,Non-Hispanic
1065,P1780165412925_3783,control,drum,lexical,break,distal,1,0,simple_first,29,Male,White,Non-Hispanic
977,P1780164732763_8163,control,balloon,cause,pop,distal,1,0,caused_first,35,Female,White,Non-Hispanic
977,P1780164732763_8163,control,balloon,lexical,pop,proximal,0,1,caused_first,35,Female,White,Non-Hispanic
977,P1780164732763_8163,control,drum,cause,break,distal,1,0,caused_first,35,Female,White,Non-Hispanic
977,P1780164732763_8163,control,drum,lexical,break,proximal,0,1,caused_first,35,Female,White,Non-Hispanic
1084,P1780166091278_3746,control,balloon,cause,pop,distal,1,0,simple_first,32,Female,White,Non-Hispanic
1084,P1780166091278_3746,control,balloon,lexical,pop,proximal,0,1,simple_first,32,Female,White,Non-Hispanic
1084,P1780166091278_3746,control,drum,cause,break,distal,1,0,simple_first,32,Female,White,Non-Hispanic
1084,P1780166091278_3746,control,drum,lexical,break,proximal,0,1,simple_first,32,Female,White,Non-Hispanic
958,P1780164686575_5894,control,balloon,cause,pop,distal,1,0,simple_first,23,Male,White,Non-Hispanic
958,P1780164686575_5894,control,balloon,lexical,pop,distal,1,0,simple_first,23,Male,White,Non-Hispanic
958,P1780164686575_5894,control,drum,cause,break,distal,1,0,simple_first,23,Male,White,Non-Hispanic
958,P1780164686575_5894,control,drum,lexical,break,distal,1,0,simple_first,23,Male,White,Non-Hispanic
872,P1780164526178_8846,control,balloon,cause,pop,distal,1,0,caused_first,42,Male,Asian,Non-Hispanic
872,P1780164526178_8846,control,balloon,lexical,pop,proximal,0,1,caused_first,42,Male,Asian,Non-Hispanic
872,P1780164526178_8846,control,drum,cause,break,distal,1,0,caused_first,42,Male,Asian,Non-Hispanic
872,P1780164526178_8846,control,drum,lexical,break,distal,1,0,caused_first,42,Male,Asian,Non-Hispanic
1027,P1780164954896_505,control,balloon,cause,pop,distal,1,0,simple_first,33,Male,Black/African American,Non-Hispanic
1027,P1780164954896_505,control,balloon,lexical,pop,distal,1,0,simple_first,33,Male,Black/African American,Non-Hispanic
1027,P1780164954896_505,control,drum,cause,break,distal,1,0,simple_first,33,Male,Black/African American,Non-Hispanic
1027,P1780164954896_505,control,drum,lexical,break,distal,1,0,simple_first,33,Male,Black/African American,Non-Hispanic
1025,P1780164939974_4271,control,balloon,cause,pop,distal,1,0,caused_first,53,Male,White,Non-Hispanic
1025,P1780164939974_4271,control,balloon,lexical,pop,proximal,0,1,caused_first,53,Male,White,Non-Hispanic
