workerid,proliferate.condition,participant_id,error
1127,mental,P1780166139861_7036,
1179,mental,P1780166266827_5767,
1082,mental,P1780166080083_147,
1089,mental,P1780166094505_2887,
1085,mental,P1780166093363_6735,
1091,mental,P1780166097686_9206,
1167,mental,P1780166235139_7157,
1185,mental,P1780166276822_920,
1297,mental,P1780167961227_9033,
1142,mental,P1780166185190_5769,
1243,mental,P1780166600369_5571,
1217,mental,P1780166380615_5091,
1266,mental,P1780166747534_6926,
1175,mental,P1780166250701_3391,
1093,mental,P1780166105081_810,
1113,mental,P1780166120389_2338,
1171,mental,P1780166241548_4303,
1097,mental,P1780166121292_4225,
1249,mental,P1780166628908_8051,
1131,mental,P1780166146480_3841,
1140,mental,P1780166173602_6795,
1163,mental,P1780166226864_7236,
1295,mental,P1780167770620_1553,
1150,mental,P1780166199527_5171,
1146,mental,P1780166194006_2645,
1191,mental,P1780166292967_5952,
1124,mental,P1780166132268_6499,
1200,mental,P1780166312498_1463,
1205,mental,P1780166352101_8004,
1103,mental,P1780166111309_8377,
1241,mental,P1780166552943_9043,
1291,mental,P1780167670601_2611,
1259,mental,P1780166650026_9153,
1255,mental,P1780166639995_295,
1233,mental,P1780166498450_9725,
1133,mental,P1780166149276_7379,
1129,mental,P1780166144719_8302,
1253,mental,P1780166631996_3976,
1211,mental,P1780166370289_4857,
1209,mental,P1780166363452_9382,
1107,mental,P1780166113945_6309,
1119,mental,P1780166126529_4938,
1183,mental,P1780166269202_1185,
1173,mental,P1780166242454_7715,
1165,mental,P1780166231502_9319,
1215,mental,P1780166376092_8804,
1264,mental,P1780166741451_4386,
1273,mental,P1780166944657_9700,
1301,mental,P1780168240610_5950,
1138,mental,P1780166165567_4682,
1123,mental,P1780166129669_4218,
1087,mental,P1780166085471_9900,
1136,mental,P1780166168427_8999,
1169,mental,P1780166237451_6263,
1287,mental,P1780167483156_1290,
1159,mental,P1780166217305_24,
1144,mental,P1780166191696_8275,
1109,mental,P1780166117167_4053,
1161,mental,P1780166228434_5417,
1231,mental,P1780166490936_7525,
1303,mental,P1780168532714_7509,
1153,mental,P1780166205915_5021,
1196,mental,P1780166305248_3034,
1155,mental,P1780166214562_8151,
1268,mental,P1780166752493_6559,
1271,mental,P1780166815830_7954,
1279,mental,P1780167115402_6657,
1229,mental,P1780166472096_5041,
1213,mental,P1780166371525_7085,
1237,mental,P1780166507952_630,
1135,mental,P1780166119482_9216,
1240,mental,P1780166549738_4969,
1095,mental,P1780166100530_1137,
1148,mental,P1780166198505_5389,
1188,mental,P1780166289463_7394,
1203,mental,P1780166327778_9617,
1117,mental,P1780166126354_2627,
1185,mental,P1780166276354_4979,
1105,mental,P1780166114275_1317,
1247,mental,P1780166617465_913,
1181,mental,P1780166269215_3768,
1099,mental,P1780166104293_5376,
1198,mental,P1780166306629_1444,
1305,mental,P1780168733817_3585,
1101,mental,P1780166105747_2765,
1245,mental,P1780166607486_37,
1251,mental,P1780166630508_5161,
1121,mental,P1780166135109_3370,
1293,mental,P1780167694047_4611,
1177,mental,P1780166283883_1387,
1257,mental,P1780166641872_6893,
1207,mental,P1780166357943_442,
1115,mental,P1780166121002_4769,
1235,mental,P1780166505414_7191,
1193,mental,P1780166295881_4822,
1219,mental,P1780166397324_9108,
1227,mental,P1780166446790_6334,
1224,mental,P1780166418632_392,
1111,mental,P1780166119085_8996,
1261,mental,P1780166674179_8134,
1195,physical,P1780166297024_7716,
1308,physical,P1780168892245_2773,
1088,physical,P1780166094290_6456,
1104,physical,P1780166112692_1689,
1210,physical,P1780166367282_4749,
1096,physical,P1780166100756_3846,
1250,physical,P1780166629876_645,
1221,physical,P1780166395510_453,
1276,physical,P1780167038122_2282,
1132,physical,P1780166154331_1801,
1214,physical,P1780166375114_9727,
1120,physical,P1780166424757_8581,
1174,physical,P1780166244370_4265,
1083,physical,P1780166084788_5276,
1094,physical,P1780166100699_6140,
1134,physical,P1780166156235_8954,
1290,physical,P1780167563797_7696,
1162,physical,P1780166228345_5765,
1116,physical,P1780166124877_6904,
1180,physical,P1780166267459_7333,
1294,physical,P1780167716263_2586,
1256,physical,P1780166638458_2986,
1298,physical,P1780167961269_8692,
1186,physical,P1780166282614_2565,
1260,physical,P1780166652210_1720,
1267,physical,P1780166751996_3951,
1230,physical,P1780166476895_1852,
1176,physical,P1780166255442_3566,
1272,physical,P1780166817850_7600,
1100,physical,P1780166105428_8049,
1239,physical,P1780166531848_5828,
1289,physical,P1780167602073_9164,
1299,physical,P1780168115796_4809,
1086,physical,P1780166087449_6432,
1118,physical,P1780166126410_751,
1137,physical,P1780166182071_9260,
1218,physical,P1780166380845_8360,
1252,physical,P1780166633958_6034,
1286,physical,P1780167483780_4323,
1238,physical,P1780166519173_8227,
1160,physical,P1780166226379_2514,
1141,physical,P1780166175292_6687,
1228,physical,P1780166454536_8506,
1248,physical,P1780166622646_2199,
1285,physical,P1780167353912_1813,
1225,physical,P1780166418419_2564,
1166,physical,P1780166234393_2808,
1300,physical,P1780168138510_4983,
1139,physical,P1780166174832_4433,
