workerid,proliferate.condition,question_order,error
1127,mental,lexical,
1127,mental,cause,
1179,mental,cause,
1179,mental,lexical,
1082,mental,lexical,
1082,mental,cause,
1089,mental,lexical,
1089,mental,cause,
1085,mental,cause,
1085,mental,lexical,
1091,mental,lexical,
1091,mental,cause,
1167,mental,lexical,
1167,mental,cause,
1185,mental,cause,
1185,mental,lexical,
1297,mental,lexical,
1297,mental,cause,
1142,mental,lexical,
1142,mental,cause,
1243,mental,cause,
1243,mental,lexical,
1217,mental,lexical,
1217,mental,cause,
1266,mental,lexical,
1266,mental,cause,
1175,mental,lexical,
1175,mental,cause,
1093,mental,lexical,
1093,mental,cause,
1113,mental,lexical,
1113,mental,cause,
1171,mental,cause,
1171,mental,lexical,
1097,mental,lexical,
1097,mental,cause,
1249,mental,lexical,
1249,mental,cause,
1131,mental,lexical,
1131,mental,cause,
1140,mental,lexical,
1140,mental,cause,
1163,mental,cause,
1163,mental,lexical,
1295,mental,cause,
1295,mental,lexical,
1150,mental,lexical,
1150,mental,cause,
1146,mental,lexical,
1146,mental,cause,
1191,mental,cause,
1191,mental,lexical,
1124,mental,lexical,
1124,mental,cause,
1200,mental,cause,
1200,mental,lexical,
1205,mental,lexical,
1205,mental,cause,
1103,mental,cause,
1103,mental,lexical,
1241,mental,cause,
1241,mental,lexical,
1291,mental,cause,
1291,mental,lexical,
1259,mental,cause,
1259,mental,lexical,
1255,mental,cause,
1255,mental,lexical,
1233,mental,lexical,
1233,mental,cause,
1133,mental,lexical,
1133,mental,cause,
1129,mental,cause,
1129,mental,lexical,
1253,mental,lexical,
1253,mental,cause,
1211,mental,lexical,
1211,mental,cause,
1209,mental,cause,
1209,mental,lexical,
1107,mental,lexical,
1107,mental,cause,
1119,mental,cause,
1119,mental,lexical,
1183,mental,cause,
1183,mental,lexical,
1173,mental,cause,
1173,mental,lexical,
1165,mental,cause,
1165,mental,lexical,
1215,mental,cause,
1215,mental,lexical,
1264,mental,cause,
1264,mental,lexical,
1273,mental,cause,
1273,mental,lexical,
1301,mental,lexical,
1301,mental,cause,
1138,mental,lexical,
1138,mental,cause,
1123,mental,cause,
1123,mental,lexical,
1087,mental,lexical,
1087,mental,cause,
1136,mental,lexical,
1136,mental,cause,
1169,mental,cause,
1169,mental,lexical,
1287,mental,lexical,
1287,mental,cause,
1159,mental,lexical,
1159,mental,cause,
1144,mental,cause,
1144,mental,lexical,
1109,mental,cause,
1109,mental,lexical,
1161,mental,lexical,
1161,mental,cause,
1231,mental,cause,
1231,mental,lexical,
1303,mental,lexical,
1303,mental,cause,
1153,mental,lexical,
1153,mental,cause,
1196,mental,cause,
1196,mental,lexical,
1155,mental,lexical,
1155,mental,cause,
1268,mental,cause,
1268,mental,lexical,
1271,mental,cause,
1271,mental,lexical,
1279,mental,cause,
1279,mental,lexical,
1229,mental,lexical,
1229,mental,cause,
1213,mental,lexical,
1213,mental,cause,
1237,mental,cause,
