workerid,proliferate.condition,condition,error
846,all,visible,
796,all,visible,
792,all,visible,
797,all,visible,
773,all,visible,
805,all,visible,
838,all,visible,
845,all,visible,
811,all,visible,
1035,all,visible,
826,all,visible,
1060,all,visible,
818,all,visible,
831,all,visible,
815,all,visible,
839,all,visible,
813,all,visible,
1262,all,visible,
795,all,visible,
837,all,visible,
1189,all,visible,
806,all,visible,
986,all,visible,
843,all,visible,
824,all,visible,
833,all,visible,
1071,all,visible,
1057,all,visible,
801,all,visible,
819,all,visible,
785,all,visible,
842,all,visible,
1044,all,visible,
836,all,visible,
821,all,visible,
794,all,visible,
783,all,visible,
1313,all,visible,
1052,all,visible,
777,all,visible,
844,all,visible,
784,all,visible,
988,all,visible,
834,all,visible,
1220,all,visible,
816,all,visible,
825,all,visible,
778,all,visible,
832,all,visible,
847,all,visible,
812,all,visible,
798,all,visible,
809,all,visible,
802,all,visible,
790,all,visible,
1070,all,visible,
1037,all,visible,
810,all,visible,
840,all,visible,
918,all,visible,
814,all,visible,
776,all,visible,
1056,all,visible,
808,all,visible,
1045,all,visible,
1017,all,visible,
800,all,visible,
835,all,visible,
788,all,visible,
1028,all,visible,
823,all,visible,
827,all,visible,
807,all,visible,
1075,all,visible,
1194,all,visible,
857,all,visible,
1069,all,visible,
781,all,visible,
919,all,visible,
1047,all,visible,
779,all,visible,
850,all,visible,
786,all,visible,
1076,all,visible,
791,all,visible,
774,all,visible,
789,all,visible,
803,all,visible,
1202,all,visible,
780,all,visible,
829,all,visible,
1013,all,visible,
782,all,visible,
909,all,visible,
828,all,visible,
775,all,visible,
841,all,visible,
822,all,visible,
804,all,visible,
787,all,visible,
817,all,visible,
1072,all,visible,
