workerid,proliferate.condition,participant_id,error
846,all,P1780164446739_8881,
796,all,P1780164167080_4776,
792,all,P1780164167980_6874,
797,all,P1780164169416_8315,
773,all,P1780164121918_9038,
805,all,P1780164180249_2599,
838,all,P1780164392738_2875,
845,all,P1780164454301_6557,
811,all,P1780164252543_2042,
1035,all,P1780165024755_3662,
826,all,P1780164303678_9681,
1060,all,P1780165519580_8233,
818,all,P1780164267317_3479,
831,all,P1780164321600_4596,
815,all,P1780164265230_4513,
839,all,P1780164404978_925,
813,all,P1780164260019_1461,
1262,all,P1780167018009_8112,
795,all,P1780164169409_9088,
837,all,P1780164390847_5946,
1189,all,P1780166290014_9674,
806,all,P1780164198750_3592,
986,all,P1780164761092_3949,
843,all,P1780164429298_9550,
824,all,P1780164293753_4810,
833,all,P1780164354479_5133,
1071,all,P1780165510608_8684,
1057,all,P1780165307459_8576,
801,all,P1780164175130_8224,
819,all,P1780164271213_8886,
785,all,P1780164144884_4832,
842,all,P1780164418206_7391,
1044,all,P1780165113465_9039,
836,all,P1780164390575_5703,
821,all,P1780164271901_6219,
794,all,P1780164159016_7367,
783,all,P1780164140831_8201,
1313,all,P1780537349807_1331,
1052,all,P1780165242139_328,
777,all,P1780164133149_7263,
844,all,P1780164448614_9397,
784,all,P1780164144703_3540,
988,all,P1780164758370_8104,
834,all,P1780164376239_1167,
1220,all,P1780166402065_2968,
816,all,P1780164269499_4072,
825,all,P1780164290167_3560,
778,all,P1780164133479_8419,
832,all,P1780164289863_2963,
847,all,P1780164482189_9344,
812,all,P1780164257763_8902,
798,all,P1780164170582_8463,
809,all,P1780164226194_6791,
802,all,P1780164174963_6703,
790,all,P1780164148166_1037,
1070,all,P1780165482455_2164,
1037,all,P1780165047084_6457,
810,all,P1780164238037_7893,
840,all,P1780164414868_8031,
918,all,P1780164630185_6787,
814,all,P1780164261027_8441,
776,all,P1780164128188_4115,
1056,all,P1780165301320_8055,
808,all,P1780164220689_30,
1045,all,P1780165114500_963,
1017,all,P1780164887743_6193,
800,all,P1780164171291_4618,
835,all,P1780164388226_9720,
788,all,P1780164146764_3502,
1028,all,P1780164955490_659,
823,all,P1780164285336_7344,
827,all,P1780164304985_6046,
807,all,P1780164207060_8690,
1075,all,P1780165572815_9105,
1194,all,P1780166296255_3957,
857,all,P1780164510381_166,
1069,all,P1780165473246_2712,
781,all,P1780164135670_9474,
919,all,P1780164634555_966,
1047,all,P1780165123861_7804,
779,all,P1780164135607_7401,
850,all,P1780164502714_7143,
786,all,P1780164145692_1705,
1076,all,P1780165611801_5064,
791,all,P1780164147183_5227,
774,all,P1780164125497_4116,
789,all,P1780164147432_767,
803,all,P1780164219032_1910,
1202,all,P1780166316412_5461,
780,all,P1780164133921_3890,
829,all,P1780164317813_3752,
1013,all,P1780164858780_4425,
782,all,P1780164140312_3564,
909,all,P1780164622782_8085,
828,all,P1780164308412_8666,
775,all,P1780164128147_7958,
841,all,P1780164411662_4166,
822,all,P1780164285368_9851,
804,all,P1780164183921_7680,
787,all,P1780164145371_831,
817,all,P1780164388609_9894,
1072,all,P1780165539503_9964,
