workerid,proliferate.condition,excited_cause,excited_lexical,scared_cause,scared_lexical,error
846,all,distal,proximal,distal,proximal,
796,all,proximal,proximal,proximal,proximal,
792,all,proximal,proximal,distal,proximal,
797,all,proximal,proximal,proximal,distal,
773,all,distal,proximal,distal,proximal,
805,all,distal,proximal,distal,distal,
838,all,distal,proximal,distal,distal,
845,all,distal,proximal,distal,proximal,
811,all,distal,distal,distal,distal,
1035,all,proximal,proximal,distal,distal,
826,all,distal,proximal,distal,proximal,
1060,all,distal,proximal,distal,proximal,
818,all,distal,proximal,distal,proximal,
831,all,proximal,proximal,distal,proximal,
815,all,distal,distal,proximal,distal,
839,all,proximal,proximal,proximal,proximal,
813,all,distal,proximal,distal,proximal,
1262,all,proximal,proximal,distal,proximal,
795,all,distal,distal,proximal,proximal,
837,all,distal,proximal,distal,proximal,
1189,all,proximal,proximal,distal,distal,
806,all,distal,proximal,distal,proximal,
986,all,proximal,proximal,proximal,proximal,
843,all,distal,proximal,distal,distal,
824,all,proximal,proximal,proximal,proximal,
833,all,distal,proximal,distal,proximal,
1071,all,distal,proximal,distal,proximal,
1057,all,proximal,distal,proximal,proximal,
801,all,proximal,proximal,proximal,proximal,
819,all,proximal,proximal,proximal,proximal,
785,all,distal,proximal,distal,distal,
842,all,distal,proximal,distal,proximal,
1044,all,proximal,proximal,distal,distal,
836,all,proximal,proximal,proximal,proximal,
821,all,proximal,proximal,distal,proximal,
794,all,distal,proximal,distal,proximal,
783,all,proximal,proximal,distal,distal,
1313,all,proximal,distal,proximal,proximal,
1052,all,proximal,proximal,proximal,proximal,
777,all,distal,proximal,distal,distal,
844,all,proximal,proximal,proximal,proximal,
784,all,distal,proximal,proximal,proximal,
988,all,proximal,proximal,proximal,proximal,
834,all,distal,proximal,distal,proximal,
1220,all,distal,distal,distal,proximal,
816,all,proximal,proximal,proximal,proximal,
825,all,distal,proximal,distal,proximal,
778,all,distal,proximal,distal,proximal,
832,all,distal,proximal,distal,proximal,
847,all,distal,proximal,distal,proximal,
812,all,distal,proximal,distal,proximal,
798,all,distal,proximal,distal,proximal,
809,all,distal,proximal,distal,proximal,
802,all,proximal,proximal,distal,proximal,
790,all,proximal,proximal,proximal,proximal,
1070,all,proximal,proximal,proximal,distal,
1037,all,proximal,proximal,proximal,distal,
810,all,proximal,proximal,proximal,proximal,
840,all,proximal,proximal,proximal,proximal,
918,all,proximal,proximal,proximal,distal,
814,all,proximal,distal,distal,distal,
776,all,distal,proximal,proximal,distal,
1056,all,proximal,proximal,proximal,proximal,
808,all,distal,proximal,distal,proximal,
1045,all,distal,proximal,distal,proximal,
1017,all,proximal,proximal,proximal,proximal,
800,all,proximal,distal,proximal,distal,
835,all,proximal,proximal,distal,proximal,
788,all,distal,distal,distal,distal,
1028,all,distal,proximal,distal,proximal,
823,all,proximal,proximal,distal,distal,
827,all,distal,proximal,distal,distal,
807,all,distal,proximal,distal,proximal,
1075,all,proximal,proximal,proximal,proximal,
1194,all,proximal,proximal,distal,distal,
857,all,proximal,proximal,distal,proximal,
1069,all,proximal,proximal,proximal,proximal,
781,all,distal,proximal,distal,proximal,
919,all,distal,proximal,distal,distal,
1047,all,proximal,proximal,distal,proximal,
779,all,proximal,proximal,distal,proximal,
850,all,proximal,proximal,proximal,proximal,
786,all,proximal,proximal,proximal,proximal,
1076,all,distal,proximal,distal,proximal,
791,all,distal,distal,distal,proximal,
774,all,proximal,proximal,distal,proximal,
789,all,distal,proximal,proximal,proximal,
803,all,distal,proximal,distal,distal,
1202,all,distal,proximal,proximal,proximal,
780,all,proximal,proximal,distal,proximal,
829,all,distal,proximal,distal,proximal,
1013,all,distal,distal,distal,distal,
782,all,distal,proximal,distal,proximal,
909,all,distal,proximal,distal,proximal,
828,all,proximal,proximal,proximal,proximal,
775,all,distal,proximal,distal,proximal,
841,all,distal,distal,distal,distal,
822,all,distal,proximal,distal,proximal,
804,all,distal,proximal,distal,proximal,
787,all,proximal,distal,proximal,distal,
817,all,proximal,proximal,proximal,proximal,
1072,all,proximal,proximal,proximal,proximal,
