workerid,participant_id,condition,scenario,question,response,distal,proximal,age,gender,race,ethnicity
846,P1780164446739_8881,visible,surprised,cause,distal,1,0,19,Male,Black/African American,Non-Hispanic
846,P1780164446739_8881,visible,surprised,lexical,proximal,0,1,19,Male,Black/African American,Non-Hispanic
846,P1780164446739_8881,visible,scared,cause,distal,1,0,19,Male,Black/African American,Non-Hispanic
846,P1780164446739_8881,visible,scared,lexical,proximal,0,1,19,Male,Black/African American,Non-Hispanic
796,P1780164167080_4776,visible,surprised,cause,proximal,0,1,36,Male,White,Hispanic
796,P1780164167080_4776,visible,surprised,lexical,proximal,0,1,36,Male,White,Hispanic
796,P1780164167080_4776,visible,scared,cause,proximal,0,1,36,Male,White,Hispanic
796,P1780164167080_4776,visible,scared,lexical,proximal,0,1,36,Male,White,Hispanic
792,P1780164167980_6874,visible,surprised,cause,proximal,0,1,32,Male,Black/African American,
792,P1780164167980_6874,visible,surprised,lexical,proximal,0,1,32,Male,Black/African American,
792,P1780164167980_6874,visible,scared,cause,distal,1,0,32,Male,Black/African American,
792,P1780164167980_6874,visible,scared,lexical,proximal,0,1,32,Male,Black/African American,
797,P1780164169416_8315,visible,surprised,cause,proximal,0,1,26,Female,White,Non-Hispanic
797,P1780164169416_8315,visible,surprised,lexical,proximal,0,1,26,Female,White,Non-Hispanic
797,P1780164169416_8315,visible,scared,cause,proximal,0,1,26,Female,White,Non-Hispanic
797,P1780164169416_8315,visible,scared,lexical,distal,1,0,26,Female,White,Non-Hispanic
773,P1780164121918_9038,visible,surprised,cause,distal,1,0,21,Female,other_race,Hispanic
773,P1780164121918_9038,visible,surprised,lexical,proximal,0,1,21,Female,other_race,Hispanic
773,P1780164121918_9038,visible,scared,cause,distal,1,0,21,Female,other_race,Hispanic
773,P1780164121918_9038,visible,scared,lexical,proximal,0,1,21,Female,other_race,Hispanic
805,P1780164180249_2599,visible,surprised,cause,distal,1,0,56,Female,White,Non-Hispanic
805,P1780164180249_2599,visible,surprised,lexical,proximal,0,1,56,Female,White,Non-Hispanic
805,P1780164180249_2599,visible,scared,cause,distal,1,0,56,Female,White,Non-Hispanic
805,P1780164180249_2599,visible,scared,lexical,distal,1,0,56,Female,White,Non-Hispanic
838,P1780164392738_2875,visible,surprised,cause,distal,1,0,27,Female,White,Non-Hispanic
838,P1780164392738_2875,visible,surprised,lexical,proximal,0,1,27,Female,White,Non-Hispanic
838,P1780164392738_2875,visible,scared,cause,distal,1,0,27,Female,White,Non-Hispanic
838,P1780164392738_2875,visible,scared,lexical,distal,1,0,27,Female,White,Non-Hispanic
845,P1780164454301_6557,visible,surprised,cause,distal,1,0,50,Female,other_race,Non-Hispanic
845,P1780164454301_6557,visible,surprised,lexical,proximal,0,1,50,Female,other_race,Non-Hispanic
845,P1780164454301_6557,visible,scared,cause,distal,1,0,50,Female,other_race,Non-Hispanic
845,P1780164454301_6557,visible,scared,lexical,proximal,0,1,50,Female,other_race,Non-Hispanic
811,P1780164252543_2042,visible,surprised,cause,distal,1,0,63,Female,Black/African American,Non-Hispanic
811,P1780164252543_2042,visible,surprised,lexical,distal,1,0,63,Female,Black/African American,Non-Hispanic
811,P1780164252543_2042,visible,scared,cause,distal,1,0,63,Female,Black/African American,Non-Hispanic
811,P1780164252543_2042,visible,scared,lexical,distal,1,0,63,Female,Black/African American,Non-Hispanic
1035,P1780165024755_3662,visible,surprised,cause,proximal,0,1,47,Female,Black/African American,Non-Hispanic
1035,P1780165024755_3662,visible,surprised,lexical,proximal,0,1,47,Female,Black/African American,Non-Hispanic
1035,P1780165024755_3662,visible,scared,cause,distal,1,0,47,Female,Black/African American,Non-Hispanic
1035,P1780165024755_3662,visible,scared,lexical,distal,1,0,47,Female,Black/African American,Non-Hispanic
826,P1780164303678_9681,visible,surprised,cause,distal,1,0,46,Male,White,Non-Hispanic
826,P1780164303678_9681,visible,surprised,lexical,proximal,0,1,46,Male,White,Non-Hispanic
826,P1780164303678_9681,visible,scared,cause,distal,1,0,46,Male,White,Non-Hispanic
826,P1780164303678_9681,visible,scared,lexical,proximal,0,1,46,Male,White,Non-Hispanic
1060,P1780165519580_8233,visible,surprised,cause,distal,1,0,27,Female,Black/African American,Hispanic
1060,P1780165519580_8233,visible,surprised,lexical,proximal,0,1,27,Female,Black/African American,Hispanic
1060,P1780165519580_8233,visible,scared,cause,distal,1,0,27,Female,Black/African American,Hispanic
1060,P1780165519580_8233,visible,scared,lexical,proximal,0,1,27,Female,Black/African American,Hispanic
818,P1780164267317_3479,visible,surprised,cause,distal,1,0,21,Male,White,Non-Hispanic
818,P1780164267317_3479,visible,surprised,lexical,proximal,0,1,21,Male,White,Non-Hispanic
818,P1780164267317_3479,visible,scared,cause,distal,1,0,21,Male,White,Non-Hispanic
818,P1780164267317_3479,visible,scared,lexical,proximal,0,1,21,Male,White,Non-Hispanic
831,P1780164321600_4596,visible,surprised,cause,proximal,0,1,50,Female,Black/African American,Non-Hispanic
831,P1780164321600_4596,visible,surprised,lexical,proximal,0,1,50,Female,Black/African American,Non-Hispanic
831,P1780164321600_4596,visible,scared,cause,distal,1,0,50,Female,Black/African American,Non-Hispanic
