workerid,proliferate.condition,age,ethnicity,gender,race,error
1080,control,58,Non-Hispanic,Male,White,
1311,control,59,Non-Hispanic,Male,White,
893,control,42,Non-Hispanic,Female,White,
960,control,34,Hispanic,Male,White,
1038,control,36,Non-Hispanic,Female,White,
1019,control,36,Hispanic,Female,White,
1078,control,34,Non-Hispanic,Female,White,
964,control,45,Non-Hispanic,Female,White,
862,control,20,Non-Hispanic,Male,White,
1062,control,23,Hispanic,Male,White,
1065,control,29,Non-Hispanic,Male,White,
977,control,35,Non-Hispanic,Female,White,
1084,control,32,Non-Hispanic,Female,White,
958,control,23,Non-Hispanic,Male,White,
872,control,42,Non-Hispanic,Male,Asian,
1027,control,33,Non-Hispanic,Male,Black/African American,
1025,control,53,Non-Hispanic,Male,White,
928,control,39,Non-Hispanic,Female,White,
1042,control,33,Non-Hispanic,Male,White,
858,control,50,Non-Hispanic,Female,White,
1001,control,25,Non-Hispanic,Female,White,
868,control,25,Non-Hispanic,Female,Black/African American,
886,control,22,Non-Hispanic,other_gender,White,
914,control,42,Non-Hispanic,Male,White,
851,control,26,Non-Hispanic,Female,White,
926,control,48,Non-Hispanic,Female,White,
991,control,26,Non-Hispanic,Male,Asian,
899,control,63,Non-Hispanic,Female,White,
897,control,50,Non-Hispanic,Female,White,
950,control,32,Non-Hispanic,Female,Black/African American,
910,control,41,Non-Hispanic,,Black/African American,
924,control,37,Non-Hispanic,Female,Black/African American,
983,control,36,Non-Hispanic,Male,White,
903,control,31,Non-Hispanic,Female,Black/African American,
946,control,44,Non-Hispanic,Female,White,
1152,control,58,Non-Hispanic,Female,White,
979,control,43,Non-Hispanic,Female,White,
1067,control,31,Hispanic,Male,other_race,
999,control,47,Non-Hispanic,Female,White,
989,control,29,Non-Hispanic,Female,Black/African American,
954,control,35,Non-Hispanic,Female,Black/African American,
1077,control,30,Non-Hispanic,Female,White,
933,control,56,Non-Hispanic,,other_race,
891,control,39,Hispanic,Female,other_race,
1007,control,28,,Female,White,
895,control,46,Non-Hispanic,Female,Black/African American,
970,control,24,Non-Hispanic,Male,Black/African American,
940,control,20,Non-Hispanic,Female,Black/African American,
1005,control,31,Non-Hispanic,Female,White,
966,control,43,Non-Hispanic,Male,White,
860,control,32,Non-Hispanic,Male,White,
956,control,43,Non-Hispanic,Male,Black/African American,
972,control,78,Non-Hispanic,Female,White,
1021,control,36,Non-Hispanic,Male,Black/African American,
1030,control,43,Hispanic,Female,White,
916,control,27,Non-Hispanic,Female,Black/African American,
1282,control,39,Hispanic,Male,Black/African American,
985,control,27,Non-Hispanic,Male,Asian,
882,control,34,Non-Hispanic,Male,Asian,
930,control,46,Non-Hispanic,Male,White,
993,control,25,Non-Hispanic,Male,White,
1051,control,34,Non-Hispanic,Male,White,
884,control,45,Non-Hispanic,Female,White,
948,control,46,,Female,Black/African American,
