workerid,proliferate.condition,condition,error
1127,mental,mental,
1179,mental,mental,
1082,mental,mental,
1089,mental,mental,
1085,mental,mental,
1091,mental,mental,
1167,mental,mental,
1185,mental,mental,
1297,mental,mental,
1142,mental,mental,
1243,mental,mental,
1217,mental,mental,
1266,mental,mental,
1175,mental,mental,
1093,mental,mental,
1113,mental,mental,
1171,mental,mental,
1097,mental,mental,
1249,mental,mental,
1131,mental,mental,
1140,mental,mental,
1163,mental,mental,
1295,mental,mental,
1150,mental,mental,
1146,mental,mental,
1191,mental,mental,
1124,mental,mental,
1200,mental,mental,
1205,mental,mental,
1103,mental,mental,
1241,mental,mental,
1291,mental,mental,
1259,mental,mental,
1255,mental,mental,
1233,mental,mental,
1133,mental,mental,
1129,mental,mental,
1253,mental,mental,
1211,mental,mental,
1209,mental,mental,
1107,mental,mental,
1119,mental,mental,
1183,mental,mental,
1173,mental,mental,
1165,mental,mental,
1215,mental,mental,
1264,mental,mental,
1273,mental,mental,
1301,mental,mental,
1138,mental,mental,
1123,mental,mental,
1087,mental,mental,
1136,mental,mental,
1169,mental,mental,
1287,mental,mental,
1159,mental,mental,
1144,mental,mental,
1109,mental,mental,
1161,mental,mental,
1231,mental,mental,
1303,mental,mental,
1153,mental,mental,
1196,mental,mental,
1155,mental,mental,
1268,mental,mental,
1271,mental,mental,
1279,mental,mental,
1229,mental,mental,
1213,mental,mental,
1237,mental,mental,
1135,mental,mental,
1240,mental,mental,
1095,mental,mental,
1148,mental,mental,
1188,mental,mental,
1203,mental,mental,
1117,mental,mental,
1185,mental,mental,
1105,mental,mental,
1247,mental,mental,
1181,mental,mental,
1099,mental,mental,
1198,mental,mental,
1305,mental,mental,
1101,mental,mental,
1245,mental,mental,
1251,mental,mental,
1121,mental,mental,
1293,mental,mental,
1177,mental,mental,
1257,mental,mental,
1207,mental,mental,
1115,mental,mental,
1235,mental,mental,
1193,mental,mental,
1219,mental,mental,
1227,mental,mental,
1224,mental,mental,
1111,mental,mental,
1261,mental,mental,
1195,physical,physical,
1308,physical,physical,
1088,physical,physical,
1104,physical,physical,
1210,physical,physical,
1096,physical,physical,
1250,physical,physical,
1221,physical,physical,
1276,physical,physical,
1132,physical,physical,
1214,physical,physical,
1120,physical,physical,
1174,physical,physical,
1083,physical,physical,
1094,physical,physical,
1134,physical,physical,
1290,physical,physical,
1162,physical,physical,
1116,physical,physical,
1180,physical,physical,
1294,physical,physical,
1256,physical,physical,
1298,physical,physical,
1186,physical,physical,
1260,physical,physical,
1267,physical,physical,
1230,physical,physical,
1176,physical,physical,
1272,physical,physical,
1100,physical,physical,
1239,physical,physical,
1289,physical,physical,
1299,physical,physical,
1086,physical,physical,
1118,physical,physical,
1137,physical,physical,
1218,physical,physical,
1252,physical,physical,
1286,physical,physical,
1238,physical,physical,
1160,physical,physical,
1141,physical,physical,
1228,physical,physical,
1248,physical,physical,
1285,physical,physical,
1225,physical,physical,
1166,physical,physical,
1300,physical,physical,
1139,physical,physical,
1110,physical,physical,
1125,physical,physical,
1112,physical,physical,
1201,physical,physical,
1090,physical,physical,
1187,physical,physical,
1306,physical,physical,
1269,physical,physical,
1232,physical,physical,
1122,physical,physical,
1309,physical,physical,
1216,physical,physical,
1170,physical,physical,
1143,physical,physical,
1296,physical,physical,
1281,physical,physical,
1130,physical,physical,
1212,physical,physical,
1122,physical,physical,
1275,physical,physical,
1168,physical,physical,
1244,physical,physical,
1265,physical,physical,
1098,physical,physical,
1102,physical,physical,
1304,physical,physical,
1236,physical,physical,
1292,physical,physical,
1149,physical,physical,
1145,physical,physical,
1199,physical,physical,
1106,physical,physical,
1156,physical,physical,
1128,physical,physical,
1134,physical,physical,
1288,physical,physical,
1204,physical,physical,
1242,physical,physical,
1234,physical,physical,
1302,physical,physical,
1246,physical,physical,
1092,physical,physical,
1283,physical,physical,
1147,physical,physical,
1151,physical,physical,
1184,physical,physical,
1108,physical,physical,
1197,physical,physical,
1278,physical,physical,
1158,physical,physical,
1263,physical,physical,
1172,physical,physical,
1307,physical,physical,
1178,physical,physical,
1192,physical,physical,
