workerid,proliferate.condition,age,ethnicity,gender,race,error
1127,mental,20,Non-Hispanic,Female,White,
1179,mental,69,Non-Hispanic,Male,,
1082,mental,42,Non-Hispanic,Male,White,
1089,mental,28,Non-Hispanic,Male,White,
1085,mental,23,Non-Hispanic,Male,Black/African American,
1091,mental,38,Non-Hispanic,Female,Asian,
1167,mental,33,Non-Hispanic,Male,Asian,
1185,mental,53,Non-Hispanic,Female,Asian,
1297,mental,34,Non-Hispanic,Male,Black/African American,
1142,mental,41,Non-Hispanic,Male,White,
1243,mental,36,Non-Hispanic,Female,White,
1217,mental,27,Non-Hispanic,Male,Black/African American,
1266,mental,39,Hispanic,Female,other_race,
1175,mental,31,Non-Hispanic,Female,White,
1093,mental,39,Non-Hispanic,,White,
1113,mental,30,Non-Hispanic,Female,White,
1171,mental,43,Non-Hispanic,Male,White,
1097,mental,40,Hispanic,Male,Black/African American,
1249,mental,50,Non-Hispanic,Female,Black/African American,
1131,mental,31,Non-Hispanic,Female,White,
1140,mental,35,Non-Hispanic,Female,Asian,
1163,mental,35,Non-Hispanic,Male,White,
1295,mental,48,Non-Hispanic,Female,Black/African American,
1150,mental,39,Non-Hispanic,Female,Black/African American,
1146,mental,39,Non-Hispanic,Male,White,
1191,mental,42,Non-Hispanic,Female,Asian,
1124,mental,59,Non-Hispanic,Female,White,
1200,mental,27,Non-Hispanic,Female,White,
1205,mental,29,Non-Hispanic,Male,Black/African American,
1103,mental,25,Non-Hispanic,Female,Black/African American,
1241,mental,60,Hispanic,Female,White,
1291,mental,56,Non-Hispanic,Male,White,
1259,mental,26,Hispanic,Female,White,
1255,mental,63,Non-Hispanic,Female,White,
1233,mental,46,Non-Hispanic,Female,White,
1133,mental,50,Non-Hispanic,Female,Black/African American,
1129,mental,40,Non-Hispanic,Female,White,
1253,mental,52,Non-Hispanic,Female,White,
1211,mental,53,Non-Hispanic,Female,White,
1209,mental,21,Non-Hispanic,Female,White,
1107,mental,52,Hispanic,Female,White,
1119,mental,47,Non-Hispanic,Female,White,
1183,mental,34,Non-Hispanic,Male,White,
1173,mental,39,Hispanic,Male,White,
1165,mental,21,Non-Hispanic,Female,White,
1215,mental,52,Non-Hispanic,Male,White,
1264,mental,39,Hispanic,Male,Black/African American,
1273,mental,30,Non-Hispanic,Female,White,
1301,mental,49,Non-Hispanic,Male,Asian,
1138,mental,18,Non-Hispanic,Female,White,
1123,mental,45,Hispanic,Female,White,
1087,mental,37,Non-Hispanic,Male,White,
1136,mental,43,Hispanic,Female,White,
1169,mental,35,Non-Hispanic,Female,White,
1287,mental,53,Non-Hispanic,Female,Asian,
1159,mental,28,Non-Hispanic,Female,other_race,
1144,mental,23,Non-Hispanic,Male,White,
1109,mental,22,Non-Hispanic,Female,Asian,
1161,mental,47,,,,
1231,mental,75,Non-Hispanic,Female,White,
1303,mental,23,Non-Hispanic,Female,Asian,
1153,mental,45,Non-Hispanic,Male,Black/African American,
1196,mental,43,Non-Hispanic,Female,White,
1155,mental,70,Non-Hispanic,Female,White,
1268,mental,39,Hispanic,Male,White,
1271,mental,30,Non-Hispanic,Female,White,
1279,mental,62,Non-Hispanic,Female,White,
1229,mental,36,Non-Hispanic,Female,other_race,
1213,mental,36,Non-Hispanic,Male,Asian,
1237,mental,32,Non-Hispanic,Female,Black/African American,
1135,mental,34,Non-Hispanic,Male,White,
1240,mental,45,Non-Hispanic,Male,White,
1095,mental,59,Non-Hispanic,Female,White,
1148,mental,41,Non-Hispanic,Female,White,
1188,mental,57,Non-Hispanic,Female,White,
1203,mental,22,Non-Hispanic,Female,Black/African American,
1117,mental,36,Non-Hispanic,Female,White,
1185,mental,39,Non-Hispanic,Female,White,
1105,mental,35,Non-Hispanic,Female,White,
1247,mental,39,Non-Hispanic,Male,White,
1181,mental,23,Non-Hispanic,Female,White,
1099,mental,66,Non-Hispanic,Male,White,
1198,mental,38,Non-Hispanic,Female,White,
1305,mental,30,Non-Hispanic,Male,White,
1101,mental,22,Non-Hispanic,Female,Black/African American,
1245,mental,41,Non-Hispanic,Female,White,
1251,mental,50,Non-Hispanic,Female,,
1121,mental,35,Non-Hispanic,Female,White,
1293,mental,49,Non-Hispanic,Female,White,
