workerid,proliferate.condition,scenario_order,error
1127,mental,hurt,
1127,mental,shock,
1179,mental,hurt,
1179,mental,shock,
1082,mental,shock,
1082,mental,hurt,
1089,mental,hurt,
1089,mental,shock,
1085,mental,shock,
1085,mental,hurt,
1091,mental,shock,
1091,mental,hurt,
1167,mental,shock,
1167,mental,hurt,
1185,mental,hurt,
1185,mental,shock,
1297,mental,shock,
1297,mental,hurt,
1142,mental,shock,
1142,mental,hurt,
1243,mental,hurt,
1243,mental,shock,
1217,mental,shock,
1217,mental,hurt,
1266,mental,shock,
1266,mental,hurt,
1175,mental,shock,
1175,mental,hurt,
1093,mental,hurt,
1093,mental,shock,
1113,mental,shock,
1113,mental,hurt,
1171,mental,shock,
1171,mental,hurt,
1097,mental,hurt,
1097,mental,shock,
1249,mental,shock,
1249,mental,hurt,
1131,mental,shock,
1131,mental,hurt,
1140,mental,hurt,
1140,mental,shock,
1163,mental,shock,
1163,mental,hurt,
1295,mental,shock,
1295,mental,hurt,
1150,mental,shock,
1150,mental,hurt,
1146,mental,hurt,
1146,mental,shock,
1191,mental,shock,
1191,mental,hurt,
1124,mental,hurt,
1124,mental,shock,
1200,mental,hurt,
1200,mental,shock,
1205,mental,shock,
1205,mental,hurt,
1103,mental,hurt,
1103,mental,shock,
1241,mental,hurt,
1241,mental,shock,
1291,mental,hurt,
1291,mental,shock,
1259,mental,shock,
1259,mental,hurt,
1255,mental,hurt,
1255,mental,shock,
1233,mental,shock,
1233,mental,hurt,
1133,mental,shock,
1133,mental,hurt,
1129,mental,hurt,
1129,mental,shock,
1253,mental,hurt,
1253,mental,shock,
1211,mental,hurt,
1211,mental,shock,
1209,mental,shock,
1209,mental,hurt,
1107,mental,shock,
1107,mental,hurt,
1119,mental,shock,
1119,mental,hurt,
1183,mental,shock,
1183,mental,hurt,
1173,mental,shock,
1173,mental,hurt,
1165,mental,shock,
1165,mental,hurt,
1215,mental,shock,
1215,mental,hurt,
1264,mental,hurt,
1264,mental,shock,
1273,mental,shock,
1273,mental,hurt,
1301,mental,hurt,
1301,mental,shock,
1138,mental,hurt,
1138,mental,shock,
1123,mental,shock,
1123,mental,hurt,
1087,mental,hurt,
1087,mental,shock,
1136,mental,shock,
1136,mental,hurt,
1169,mental,shock,
1169,mental,hurt,
1287,mental,shock,
1287,mental,hurt,
1159,mental,shock,
1159,mental,hurt,
1144,mental,shock,
1144,mental,hurt,
1109,mental,shock,
1109,mental,hurt,
1161,mental,shock,
1161,mental,hurt,
1231,mental,hurt,
1231,mental,shock,
1303,mental,hurt,
1303,mental,shock,
1153,mental,hurt,
1153,mental,shock,
1196,mental,shock,
1196,mental,hurt,
1155,mental,shock,
1155,mental,hurt,
1268,mental,hurt,
1268,mental,shock,
1271,mental,hurt,
1271,mental,shock,
1279,mental,shock,
1279,mental,hurt,
1229,mental,shock,
1229,mental,hurt,
1213,mental,shock,
1213,mental,hurt,
1237,mental,hurt,
1237,mental,shock,
1135,mental,shock,
1135,mental,hurt,
1240,mental,shock,
1240,mental,hurt,
1095,mental,hurt,
1095,mental,shock,
1148,mental,shock,
1148,mental,hurt,
1188,mental,hurt,
1188,mental,shock,
1203,mental,shock,
1203,mental,hurt,
1117,mental,shock,
1117,mental,hurt,
1185,mental,hurt,
1185,mental,shock,
1105,mental,shock,
1105,mental,hurt,
1247,mental,shock,
1247,mental,hurt,
1181,mental,hurt,
1181,mental,shock,
1099,mental,shock,
1099,mental,hurt,
1198,mental,shock,
1198,mental,hurt,
1305,mental,hurt,
1305,mental,shock,
1101,mental,shock,
1101,mental,hurt,
1245,mental,hurt,
1245,mental,shock,
1251,mental,hurt,
1251,mental,shock,
1121,mental,shock,
1121,mental,hurt,
1293,mental,shock,
1293,mental,hurt,
1177,mental,shock,
1177,mental,hurt,
1257,mental,shock,
1257,mental,hurt,
1207,mental,shock,
1207,mental,hurt,
1115,mental,hurt,
1115,mental,shock,
1235,mental,shock,
1235,mental,hurt,
1193,mental,hurt,
1193,mental,shock,
1219,mental,shock,
1219,mental,hurt,
1227,mental,hurt,
1227,mental,shock,
1224,mental,shock,
1224,mental,hurt,
1111,mental,shock,
1111,mental,hurt,
1261,mental,shock,
1261,mental,hurt,
1195,physical,shock,
1195,physical,hurt,
1308,physical,hurt,
1308,physical,shock,
1088,physical,hurt,
1088,physical,shock,
1104,physical,hurt,
1104,physical,shock,
1210,physical,shock,
1210,physical,hurt,
1096,physical,shock,
1096,physical,hurt,
1250,physical,hurt,
1250,physical,shock,
1221,physical,shock,
1221,physical,hurt,
1276,physical,shock,
1276,physical,hurt,
1132,physical,shock,
1132,physical,hurt,
1214,physical,shock,
1214,physical,hurt,
1120,physical,shock,
1120,physical,hurt,
1174,physical,hurt,
1174,physical,shock,
1083,physical,hurt,
1083,physical,shock,
1094,physical,shock,
1094,physical,hurt,
1134,physical,hurt,
1134,physical,shock,
1290,physical,hurt,
1290,physical,shock,
1162,physical,shock,
1162,physical,hurt,
1116,physical,shock,
1116,physical,hurt,
1180,physical,hurt,
1180,physical,shock,
1294,physical,hurt,
1294,physical,shock,
1256,physical,hurt,
1256,physical,shock,
1298,physical,shock,
1298,physical,hurt,
1186,physical,shock,
1186,physical,hurt,
1260,physical,hurt,
1260,physical,shock,
1267,physical,shock,
1267,physical,hurt,
1230,physical,shock,
1230,physical,hurt,
1176,physical,hurt,
1176,physical,shock,
1272,physical,hurt,
1272,physical,shock,
1100,physical,hurt,
1100,physical,shock,
1239,physical,shock,
1239,physical,hurt,
1289,physical,shock,
1289,physical,hurt,
1299,physical,hurt,
1299,physical,shock,
1086,physical,shock,
1086,physical,hurt,
1118,physical,hurt,
1118,physical,shock,
1137,physical,hurt,
1137,physical,shock,
1218,physical,hurt,
1218,physical,shock,
1252,physical,hurt,
1252,physical,shock,
1286,physical,shock,
1286,physical,hurt,
1238,physical,shock,
1238,physical,hurt,
1160,physical,shock,
1160,physical,hurt,
1141,physical,hurt,
1141,physical,shock,
1228,physical,shock,
1228,physical,hurt,
1248,physical,shock,
1248,physical,hurt,
1285,physical,shock,
