workerid,proliferate.condition,question_order_label,error
1080,control,simple_first,
1311,control,simple_first,
893,control,caused_first,
960,control,simple_first,
1038,control,caused_first,
1019,control,simple_first,
1078,control,simple_first,
964,control,simple_first,
862,control,caused_first,
1062,control,caused_first,
1065,control,simple_first,
977,control,caused_first,
1084,control,simple_first,
958,control,simple_first,
872,control,caused_first,
1027,control,simple_first,
1025,control,caused_first,
928,control,caused_first,
1042,control,simple_first,
858,control,simple_first,
1001,control,simple_first,
868,control,caused_first,
886,control,caused_first,
914,control,simple_first,
851,control,caused_first,
926,control,caused_first,
991,control,simple_first,
899,control,simple_first,
897,control,caused_first,
950,control,simple_first,
910,control,simple_first,
924,control,caused_first,
983,control,caused_first,
903,control,caused_first,
946,control,simple_first,
1152,control,caused_first,
979,control,simple_first,
1067,control,simple_first,
999,control,simple_first,
989,control,simple_first,
954,control,caused_first,
1077,control,simple_first,
933,control,simple_first,
891,control,simple_first,
1007,control,caused_first,
895,control,simple_first,
970,control,caused_first,
940,control,simple_first,
1005,control,caused_first,
966,control,caused_first,
860,control,caused_first,
956,control,simple_first,
972,control,simple_first,
1021,control,caused_first,
1030,control,caused_first,
916,control,simple_first,
1282,control,simple_first,
985,control,caused_first,
882,control,simple_first,
930,control,simple_first,
993,control,caused_first,
1051,control,caused_first,
884,control,caused_first,
948,control,simple_first,
997,control,simple_first,
942,control,simple_first,
874,control,simple_first,
1040,control,simple_first,
907,control,simple_first,
912,control,caused_first,
936,control,caused_first,
1054,control,simple_first,
901,control,simple_first,
1016,control,caused_first,
880,control,simple_first,
1003,control,simple_first,
975,control,caused_first,
968,control,caused_first,
944,control,caused_first,
995,control,caused_first,
878,control,simple_first,
1073,control,simple_first,
1032,control,caused_first,
962,control,simple_first,
1034,control,simple_first,
932,control,caused_first,
855,control,simple_first,
1058,control,simple_first,
952,control,simple_first,
1009,control,simple_first,
1014,control,caused_first,
866,control,caused_first,
864,control,simple_first,
981,control,simple_first,
1046,control,caused_first,
870,control,simple_first,
938,control,simple_first,
1011,control,simple_first,
876,control,caused_first,
905,control,simple_first,
888,control,simple_first,
961,experimental,simple_first,
927,experimental,simple_first,
1000,experimental,simple_first,
1022,experimental,caused_first,
976,experimental,caused_first,
873,experimental,caused_first,
911,experimental,caused_first,
902,experimental,simple_first,
1041,experimental,caused_first,
1043,experimental,caused_first,
917,experimental,caused_first,
1020,experimental,caused_first,
896,experimental,simple_first,
863,experimental,caused_first,
1312,experimental,caused_first,
904,experimental,caused_first,
998,experimental,simple_first,
1068,experimental,caused_first,
854,experimental,simple_first,
921,experimental,simple_first,
992,experimental,caused_first,
923,experimental,simple_first,
947,experimental,caused_first,
978,experimental,caused_first,
943,experimental,caused_first,
1055,experimental,simple_first,
994,experimental,simple_first,
906,experimental,simple_first,
1002,experimental,caused_first,
1280,experimental,caused_first,
1036,experimental,simple_first,
996,experimental,simple_first,
965,experimental,caused_first,
852,experimental,simple_first,
1012,experimental,caused_first,
1008,experimental,simple_first,
883,experimental,caused_first,
856,experimental,caused_first,
951,experimental,caused_first,
898,experimental,simple_first,
877,experimental,simple_first,
1024,experimental,caused_first,
959,experimental,simple_first,
1004,experimental,caused_first,
913,experimental,simple_first,
937,experimental,caused_first,
1310,experimental,simple_first,
1079,experimental,caused_first,
967,experimental,simple_first,
957,experimental,simple_first,
945,experimental,simple_first,
934,experimental,caused_first,
1074,experimental,caused_first,
894,experimental,simple_first,
1050,experimental,caused_first,
1033,experimental,simple_first,
1059,experimental,caused_first,
1066,experimental,simple_first,
953,experimental,simple_first,
1061,experimental,caused_first,
1064,experimental,caused_first,
908,experimental,caused_first,
869,experimental,simple_first,
861,experimental,caused_first,
881,experimental,caused_first,
1226,experimental,simple_first,
1081,experimental,caused_first,
955,experimental,simple_first,
935,experimental,simple_first,
849,experimental,caused_first,
1015,experimental,caused_first,
879,experimental,caused_first,
859,experimental,caused_first,
885,experimental,simple_first,
929,experimental,caused_first,
1010,experimental,caused_first,
1031,experimental,simple_first,
1053,experimental,caused_first,
1006,experimental,simple_first,
941,experimental,caused_first,
900,experimental,caused_first,
1018,experimental,simple_first,
925,experimental,simple_first,
949,experimental,simple_first,
987,experimental,simple_first,
980,experimental,caused_first,
939,experimental,simple_first,
1029,experimental,simple_first,
892,experimental,caused_first,
982,experimental,caused_first,
990,experimental,caused_first,
1048,experimental,simple_first,
1039,experimental,caused_first,
889,experimental,simple_first,
875,experimental,caused_first,
887,experimental,simple_first,
963,experimental,caused_first,
984,experimental,caused_first,
865,experimental,caused_first,
1026,experimental,simple_first,
871,experimental,simple_first,
973,experimental,caused_first,
