workerid,proliferate.condition,question_order,error
846,all,lexical,
846,all,cause,
796,all,lexical,
796,all,cause,
792,all,lexical,
792,all,cause,
797,all,cause,
797,all,lexical,
773,all,lexical,
773,all,cause,
805,all,lexical,
805,all,cause,
838,all,lexical,
838,all,cause,
845,all,lexical,
845,all,cause,
811,all,lexical,
811,all,cause,
1035,all,cause,
1035,all,lexical,
826,all,lexical,
826,all,cause,
1060,all,lexical,
1060,all,cause,
818,all,cause,
818,all,lexical,
831,all,cause,
831,all,lexical,
815,all,lexical,
815,all,cause,
839,all,cause,
839,all,lexical,
813,all,lexical,
813,all,cause,
1262,all,cause,
1262,all,lexical,
795,all,cause,
795,all,lexical,
837,all,lexical,
837,all,cause,
1189,all,cause,
1189,all,lexical,
806,all,lexical,
806,all,cause,
986,all,lexical,
986,all,cause,
843,all,lexical,
843,all,cause,
824,all,lexical,
824,all,cause,
833,all,cause,
833,all,lexical,
1071,all,lexical,
1071,all,cause,
1057,all,lexical,
1057,all,cause,
801,all,lexical,
801,all,cause,
819,all,lexical,
819,all,cause,
785,all,lexical,
785,all,cause,
842,all,lexical,
842,all,cause,
1044,all,lexical,
1044,all,cause,
836,all,cause,
836,all,lexical,
821,all,cause,
821,all,lexical,
794,all,cause,
794,all,lexical,
783,all,lexical,
783,all,cause,
1313,all,cause,
1313,all,lexical,
1052,all,lexical,
1052,all,cause,
777,all,lexical,
777,all,cause,
844,all,cause,
844,all,lexical,
784,all,cause,
784,all,lexical,
988,all,cause,
988,all,lexical,
834,all,cause,
834,all,lexical,
1220,all,cause,
1220,all,lexical,
816,all,cause,
816,all,lexical,
825,all,lexical,
825,all,cause,
778,all,lexical,
778,all,cause,
832,all,lexical,
832,all,cause,
847,all,lexical,
847,all,cause,
812,all,cause,
812,all,lexical,
798,all,cause,
798,all,lexical,
809,all,lexical,
809,all,cause,
802,all,cause,
802,all,lexical,
790,all,cause,
790,all,lexical,
1070,all,cause,
1070,all,lexical,
1037,all,lexical,
1037,all,cause,
810,all,cause,
810,all,lexical,
840,all,cause,
840,all,lexical,
918,all,cause,
918,all,lexical,
814,all,lexical,
814,all,cause,
776,all,lexical,
776,all,cause,
1056,all,lexical,
1056,all,cause,
808,all,cause,
808,all,lexical,
1045,all,cause,
1045,all,lexical,
1017,all,lexical,
1017,all,cause,
800,all,lexical,
800,all,cause,
835,all,lexical,
835,all,cause,
788,all,lexical,
788,all,cause,
1028,all,lexical,
1028,all,cause,
823,all,cause,
823,all,lexical,
827,all,lexical,
827,all,cause,
807,all,lexical,
807,all,cause,
1075,all,lexical,
1075,all,cause,
1194,all,lexical,
1194,all,cause,
857,all,lexical,
857,all,cause,
1069,all,cause,
1069,all,lexical,
781,all,lexical,
781,all,cause,
919,all,lexical,
919,all,cause,
1047,all,cause,
1047,all,lexical,
779,all,cause,
779,all,lexical,
850,all,cause,
850,all,lexical,
786,all,lexical,
786,all,cause,
1076,all,lexical,
1076,all,cause,
791,all,cause,
791,all,lexical,
774,all,lexical,
774,all,cause,
789,all,lexical,
789,all,cause,
803,all,lexical,
803,all,cause,
1202,all,cause,
1202,all,lexical,
780,all,cause,
780,all,lexical,
829,all,cause,
829,all,lexical,
1013,all,cause,
1013,all,lexical,
782,all,lexical,
782,all,cause,
909,all,lexical,
909,all,cause,
828,all,cause,
828,all,lexical,
775,all,lexical,
775,all,cause,
841,all,lexical,
841,all,cause,
822,all,lexical,
822,all,cause,
804,all,lexical,
804,all,cause,
787,all,lexical,
787,all,cause,
817,all,cause,
817,all,lexical,
1072,all,cause,
1072,all,lexical,
