workerid,proliferate.condition,scenario_order,error
846,all,scared,
846,all,excited,
796,all,scared,
796,all,excited,
792,all,scared,
792,all,excited,
797,all,excited,
797,all,scared,
773,all,scared,
773,all,excited,
805,all,scared,
805,all,excited,
838,all,scared,
838,all,excited,
845,all,scared,
845,all,excited,
811,all,scared,
811,all,excited,
1035,all,scared,
1035,all,excited,
826,all,scared,
826,all,excited,
1060,all,scared,
1060,all,excited,
818,all,scared,
818,all,excited,
831,all,scared,
831,all,excited,
815,all,scared,
815,all,excited,
839,all,excited,
839,all,scared,
813,all,scared,
813,all,excited,
1262,all,scared,
1262,all,excited,
795,all,scared,
795,all,excited,
837,all,scared,
837,all,excited,
1189,all,excited,
1189,all,scared,
806,all,scared,
806,all,excited,
986,all,excited,
986,all,scared,
843,all,excited,
843,all,scared,
824,all,excited,
824,all,scared,
833,all,scared,
833,all,excited,
1071,all,excited,
1071,all,scared,
1057,all,scared,
1057,all,excited,
801,all,excited,
801,all,scared,
819,all,excited,
819,all,scared,
785,all,scared,
785,all,excited,
842,all,scared,
842,all,excited,
1044,all,scared,
1044,all,excited,
836,all,excited,
836,all,scared,
821,all,scared,
821,all,excited,
794,all,scared,
794,all,excited,
783,all,excited,
783,all,scared,
1313,all,scared,
1313,all,excited,
1052,all,excited,
1052,all,scared,
777,all,excited,
777,all,scared,
844,all,excited,
844,all,scared,
784,all,scared,
784,all,excited,
988,all,scared,
988,all,excited,
834,all,scared,
834,all,excited,
1220,all,scared,
1220,all,excited,
816,all,excited,
816,all,scared,
825,all,excited,
825,all,scared,
778,all,scared,
778,all,excited,
832,all,excited,
832,all,scared,
847,all,scared,
847,all,excited,
812,all,excited,
812,all,scared,
798,all,scared,
798,all,excited,
809,all,scared,
809,all,excited,
802,all,excited,
802,all,scared,
790,all,excited,
790,all,scared,
1070,all,scared,
1070,all,excited,
1037,all,excited,
1037,all,scared,
810,all,scared,
810,all,excited,
840,all,scared,
840,all,excited,
918,all,scared,
918,all,excited,
814,all,scared,
814,all,excited,
776,all,excited,
776,all,scared,
1056,all,excited,
1056,all,scared,
808,all,excited,
808,all,scared,
1045,all,excited,
1045,all,scared,
1017,all,scared,
1017,all,excited,
800,all,excited,
800,all,scared,
835,all,excited,
835,all,scared,
788,all,excited,
788,all,scared,
1028,all,excited,
1028,all,scared,
823,all,excited,
823,all,scared,
827,all,scared,
827,all,excited,
807,all,scared,
807,all,excited,
1075,all,scared,
1075,all,excited,
1194,all,scared,
1194,all,excited,
857,all,excited,
857,all,scared,
1069,all,scared,
1069,all,excited,
781,all,excited,
781,all,scared,
919,all,scared,
919,all,excited,
1047,all,excited,
1047,all,scared,
779,all,excited,
779,all,scared,
850,all,excited,
850,all,scared,
786,all,excited,
786,all,scared,
1076,all,scared,
1076,all,excited,
791,all,excited,
791,all,scared,
774,all,excited,
774,all,scared,
789,all,excited,
789,all,scared,
803,all,scared,
803,all,excited,
1202,all,scared,
1202,all,excited,
780,all,excited,
780,all,scared,
829,all,scared,
829,all,excited,
1013,all,scared,
1013,all,excited,
782,all,scared,
782,all,excited,
909,all,excited,
909,all,scared,
828,all,excited,
828,all,scared,
775,all,scared,
775,all,excited,
841,all,excited,
841,all,scared,
822,all,scared,
822,all,excited,
804,all,scared,
804,all,excited,
787,all,scared,
787,all,excited,
817,all,excited,
817,all,scared,
1072,all,excited,
1072,all,scared,
